                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.5002,                 0.6277,                 1.6633,                0.96611,                0.91045,                0.96348,                0.76753,                 2.2731,                 1.1147,                 2.0884,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5222,                0.64143,                   1.67,                0.96669,                0.90779,                0.96259,                0.76649,                 2.2589,                 1.1379,                 2.0797,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.504,                0.63193,                 1.6626,                0.96963,                0.90818,                0.96361,                0.76845,                  2.236,                 1.0575,                 2.0568,                0.00101,                0.00101,                0.00101
                     52,                 1.4735,                0.61642,                 1.6596,                0.96786,                0.90863,                 0.9634,                0.76939,                 2.2507,                 1.1541,                 2.0879,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4916,                0.62078,                 1.6603,                0.97073,                0.90831,                 0.9639,                0.77149,                 2.2466,                 1.1539,                 2.0736,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4835,                0.62066,                 1.6598,                0.96846,                0.90893,                0.96406,                 0.7715,                 2.2547,                 1.2084,                 2.0927,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.5006,                0.62485,                 1.6608,                0.96908,                 0.9101,                0.96454,                0.77187,                 2.3105,                 1.1793,                 2.1131,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4709,                0.61455,                  1.659,                0.96935,                0.90802,                0.96364,                0.77138,                 2.2508,                 1.0924,                  2.072,               0.000911,               0.000911,               0.000911
                     57,                 1.4786,                0.61493,                 1.6568,                0.97215,                0.90993,                0.96509,                0.77333,                 2.2635,                 1.0849,                 2.0745,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.461,                0.61091,                 1.6553,                0.96784,                 0.9109,                0.96401,                0.77086,                 2.2342,                 1.0708,                 2.0731,              0.0008714,              0.0008714,              0.0008714
                     59,                  1.468,                0.61135,                 1.6586,                0.96771,                0.91111,                0.96501,                0.77324,                 2.2083,                 1.0786,                  2.061,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4363,                0.60065,                 1.6546,                0.97022,                0.91187,                0.96531,                0.77515,                  2.277,                 1.0942,                 2.1121,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4305,                0.59602,                 1.6524,                0.96979,                0.91157,                0.96527,                0.77457,                 2.2442,                 1.0741,                 2.0738,               0.000812,               0.000812,               0.000812
                     62,                 1.4578,                0.61001,                 1.6565,                0.96916,                 0.9116,                 0.9649,                0.77411,                  2.282,                 1.0931,                   2.13,              0.0007922,              0.0007922,              0.0007922
