                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                  1.782,                0.76473,                 1.6951,                0.95915,                0.88914,                0.95258,                0.74333,                 2.4517,                 1.2374,                 2.0913,               0.006568,               0.006568,               0.006568
                     54,                 1.7776,                0.76397,                 1.6966,                0.95414,                0.88909,                0.95112,                0.73877,                 2.4366,                  1.232,                 2.0696,               0.006502,               0.006502,               0.006502
                     55,                 1.7997,                0.77251,                  1.696,                0.96094,                 0.8898,                0.95115,                0.73891,                 2.4677,                 1.2054,                 2.0998,               0.006436,               0.006436,               0.006436
                     56,                 1.7633,                0.75696,                 1.6949,                0.95925,                0.88891,                0.95219,                0.74186,                 2.4314,                 1.2564,                 2.1092,                0.00637,                0.00637,                0.00637
                     57,                 1.7617,                0.75543,                  1.692,                0.96024,                0.88722,                0.95272,                0.74126,                 2.4441,                 1.2149,                 2.0803,               0.006304,               0.006304,               0.006304
                     58,                 1.7641,                0.75976,                  1.694,                0.95991,                0.88959,                0.95182,                0.74114,                 2.3661,                  1.202,                 2.0368,               0.006238,               0.006238,               0.006238
                     59,                 1.7459,                 0.7491,                 1.6908,                 0.9615,                0.89461,                0.95354,                0.74317,                 2.4318,                 1.2239,                 2.0555,               0.006172,               0.006172,               0.006172
                     60,                 1.7321,                0.74464,                 1.6911,                0.95885,                0.89177,                0.95341,                0.74662,                 2.4243,                 1.2259,                 2.0812,               0.006106,               0.006106,               0.006106
                     61,                 1.7348,                0.74486,                 1.6903,                0.96049,                0.89099,                0.95338,                0.74589,                 2.4353,                 1.2717,                 2.0562,                0.00604,                0.00604,                0.00604
                     62,                 1.7313,                0.75671,                 1.6877,                0.95645,                0.89274,                0.95356,                0.74616,                 2.4223,                 1.2507,                 2.0738,               0.005974,               0.005974,               0.005974
                     63,                 1.7494,                 0.7566,                 1.6908,                 0.9601,                0.89436,                0.95367,                0.74537,                 2.4348,                 1.2299,                  2.079,               0.005908,               0.005908,               0.005908
                     64,                 1.7071,                0.73543,                 1.6874,                0.96072,                0.89107,                0.95326,                0.74766,                 2.4276,                 1.2488,                 2.0764,               0.005842,               0.005842,               0.005842
                     65,                 1.7303,                 0.7435,                 1.6885,                0.96016,                0.89517,                0.95404,                0.74691,                 2.4437,                 1.2546,                 2.0913,               0.005776,               0.005776,               0.005776
                     66,                 1.7024,                0.73241,                 1.6832,                0.96163,                0.89233,                0.95527,                0.75029,                 2.4392,                 1.2469,                 2.0992,                0.00571,                0.00571,                0.00571
                     67,                 1.7049,                0.73202,                 1.6869,                0.95999,                0.89264,                0.95326,                0.74843,                 2.4323,                 1.1486,                  2.081,               0.005644,               0.005644,               0.005644
                     68,                 1.7102,                0.73499,                 1.6859,                 0.9604,                0.89381,                0.95394,                0.74748,                  2.444,                 1.2638,                 2.1132,               0.005578,               0.005578,               0.005578
                     69,                 1.7192,                0.73894,                 1.6848,                0.96119,                0.89254,                0.95329,                0.74711,                 2.4181,                  1.231,                 2.0861,               0.005512,               0.005512,               0.005512
                     70,                 1.7089,                0.73454,                 1.6865,                0.96121,                0.89223,                0.95328,                0.74723,                 2.3686,                 1.1931,                  2.024,               0.005446,               0.005446,               0.005446
                     71,                 1.6918,                0.72711,                 1.6824,                 0.9598,                0.89323,                0.95406,                0.74922,                 2.3948,                 1.2556,                 2.0609,                0.00538,                0.00538,                0.00538
                     72,                 1.6718,                0.72019,                 1.6793,                0.95811,                0.89547,                0.95399,                0.74931,                 2.4192,                 1.2007,                 2.1042,               0.005314,               0.005314,               0.005314
                     73,                 1.6804,                0.72173,                 1.6796,                0.96035,                0.89383,                0.95487,                0.74944,                 2.3957,                 1.1988,                 2.0538,               0.005248,               0.005248,               0.005248
                     74,                  1.667,                0.71505,                 1.6774,                0.96277,                0.89542,                0.95651,                0.75306,                  2.373,                   1.22,                 2.0492,               0.005182,               0.005182,               0.005182
                     75,                 1.6605,                 0.7163,                 1.6802,                0.96087,                0.89714,                0.95475,                0.74898,                 2.3861,                 1.2205,                  2.064,               0.005116,               0.005116,               0.005116
                     76,                   1.66,                0.71252,                 1.6788,                0.96412,                0.89637,                0.95604,                0.75377,                 2.3468,                 1.2353,                 2.0409,                0.00505,                0.00505,                0.00505
                     77,                 1.6592,                0.71332,                 1.6813,                0.96044,                0.89795,                0.95729,                0.75235,                  2.359,                 1.2233,                 2.0663,               0.004984,               0.004984,               0.004984
                     78,                 1.6697,                0.71855,                 1.6762,                0.96266,                0.89805,                0.95614,                0.75091,                 2.3621,                   1.18,                 2.0427,               0.004918,               0.004918,               0.004918
                     79,                  1.677,                0.72174,                 1.6783,                0.96169,                0.89843,                0.95609,                0.75426,                 2.3281,                 1.1934,                 2.0043,               0.004852,               0.004852,               0.004852
                     80,                 1.6611,                0.71177,                 1.6784,                0.96078,                0.90068,                0.95692,                0.75248,                 2.3514,                 1.1746,                 2.0341,               0.004786,               0.004786,               0.004786
                     81,                 1.6468,                0.70641,                 1.6747,                0.96368,                0.89716,                0.95611,                0.75381,                 2.2969,                 1.1872,                 2.0071,                0.00472,                0.00472,                0.00472
                     82,                 1.6581,                0.70844,                 1.6744,                0.96132,                0.89967,                0.95597,                0.75152,                 2.3525,                 1.1683,                 2.0401,               0.004654,               0.004654,               0.004654
                     83,                 1.6321,                0.70182,                 1.6709,                0.96206,                0.89896,                0.95722,                0.75411,                 2.3864,                 1.1341,                 2.0675,               0.004588,               0.004588,               0.004588
                     84,                 1.6383,                0.70405,                 1.6747,                0.96122,                0.89916,                 0.9569,                0.75493,                 2.3866,                 1.1184,                 2.0568,               0.004522,               0.004522,               0.004522
                     85,                 1.6218,                0.70097,                 1.6786,                0.95978,                 0.8981,                0.95673,                0.75516,                 2.3912,                 1.1601,                   2.05,               0.004456,               0.004456,               0.004456
                     86,                 1.6054,                 0.6906,                 1.6699,                0.96147,                0.89891,                0.95757,                0.75565,                 2.4127,                  1.147,                 2.0938,                0.00439,                0.00439,                0.00439
                     87,                 1.6135,                0.69348,                 1.6716,                0.96276,                0.89679,                0.95669,                0.75571,                  2.377,                 1.2035,                 2.0363,               0.004324,               0.004324,               0.004324
                     88,                  1.606,                0.68965,                 1.6698,                0.96131,                 0.8976,                0.95536,                0.75395,                 2.3813,                  1.168,                 2.0443,               0.004258,               0.004258,               0.004258
                     89,                 1.6134,                0.69118,                 1.6721,                0.96279,                0.89593,                0.95633,                0.75544,                 2.3728,                  1.131,                 2.0491,               0.004192,               0.004192,               0.004192
