                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.4396,                 0.6006,                 1.6519,                0.96863,                0.91015,                0.96508,                0.77294,                 2.2701,                 1.0508,                  2.085,               0.004588,               0.004588,               0.004588
                     84,                 1.4391,                0.59901,                 1.6518,                0.96868,                0.91096,                0.96555,                0.77402,                 2.2559,                 1.0885,                  2.097,               0.004522,               0.004522,               0.004522
                     85,                 1.4393,                 0.5992,                  1.654,                 0.9714,                0.90823,                0.96486,                0.77312,                 2.2431,                 1.0559,                 2.0739,               0.004456,               0.004456,               0.004456
                     86,                 1.4248,                0.59126,                 1.6498,                0.96761,                0.91314,                0.96575,                0.77507,                 2.2472,                  1.061,                 2.0659,                0.00439,                0.00439,                0.00439
                     87,                 1.4182,                0.59044,                  1.652,                0.96796,                0.91202,                0.96544,                0.77422,                 2.2496,                 1.0995,                 2.0878,               0.004324,               0.004324,               0.004324
                     88,                 1.4266,                0.59303,                 1.6517,                0.96839,                0.91152,                 0.9648,                0.77336,                 2.2546,                 1.0564,                 2.1187,               0.004258,               0.004258,               0.004258
                     89,                 1.4244,                0.59235,                 1.6507,                0.97018,                0.91245,                0.96577,                0.77444,                 2.2665,                 1.1077,                 2.0812,               0.004192,               0.004192,               0.004192
                     90,                 1.4337,                0.59547,                 1.6525,                 0.9701,                0.91318,                 0.9664,                0.77536,                 2.2088,                 1.0658,                 2.0433,               0.004126,               0.004126,               0.004126
                     91,                 1.4045,                0.58729,                 1.6461,                0.96864,                0.91197,                 0.9655,                 0.7758,                 2.2272,                 1.0644,                 2.0483,                0.00406,                0.00406,                0.00406
                     92,                 1.3991,                0.58379,                 1.6458,                0.96794,                0.91435,                0.96529,                0.77557,                 2.2426,                 1.0476,                 2.0482,               0.003994,               0.003994,               0.003994
                     93,                 1.4055,                0.59044,                 1.6474,                0.96877,                0.91384,                0.96534,                0.77623,                 2.2508,                  1.048,                 2.0641,               0.003928,               0.003928,               0.003928
